0,KGZ,675KHa,4,13,465,,93%,7%,,,0 ha ,USD 8.7 million,0.2% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2.02 kha/year,56 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,LAO,19MHa,84,"191,031","337,964",93%,6%,1%,,,"154,633 ha ",USD 164.2 million,2.1% of the GDP.,"8 thousand people are directly employed by the forestry sector, according to 2011 FAO data.","1,064 million metric tons of carbon stocks",70.0% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,LVA,4MHa,56,"26,996","185,696",81%,,19%,,,"3,434,153 ha ",USD 1.7 billion,6.5% of the GDP.,"41 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",35.546 kha/year,285 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,LBN,65KHa,6,100,"1,772",92%,,8%,,,0 ha ,USD 155.2 million,0.4% of the GDP.,"6 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,LSO,6KHa,0,16,205,65%,,35%,,,0 ha ,USD 18.5 million,0.8% of the GDP.,This country has 3 million metric tons of carbon stocks in living forest biomass.,,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,LBR,9MHa,98,"111,882","108,378",96%,4%,,"141,920 ha",91%,0 ha ,USD 159.7 million,15.2% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",30 kha/year,583 million metric tons of carbon stocks,89.8% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,LBY,7KHa,0,3,410,,,100%,,,0 ha ,USD 45.9 million,0.1% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",6 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,LIE,9.2KHa,,,,74%,22%,4%,,,0 ha ,0 kha/year,,This country has 1 million metric tons of carbon stocks in living forest biomass.,,,,[]
8,LTU,2MHa,37,"12,710","122,553",73%,1%,26%,,,"1,066,947 ha ",USD 915.8 million,2.4% of the GDP.,"29 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",15.8 kha/year,167 million metric tons of carbon stocks,19.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,LUX,100KHa,39,330,"2,700",67%,,33%,,,"51,535 ha ",USD 139.2 million,0.3% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",9 million metric tons of carbon stocks,0.03% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
10,MKD,790.9KHa,,,,89%,,11%,,,0 ha ,USD 60.9 million,0.7% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",60 million metric tons of carbon stocks,0.42% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,MDG,17MHa,29,"318,464","405,045",74%,24%,2%,,,"1,000 ha ",USD 401.5 million,4.3% of the GDP.,"45 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",28 kha/year,"1,606 million metric tons of carbon stocks",53.0% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,MWI,2MHa,16,"15,899","10,299",60%,27%,13%,,,0 ha ,USD 52.5 million,0.8% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3 kha/year,140 million metric tons of carbon stocks,37.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
13,MYS,29MHa,90,"493,384","2,579,982",68%,23%,9%,"88,815 ha",27%,"5,118,451 ha ",USD 5.7 billion,2.0% of the GDP.,"210 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",134.242 kha/year,"2,787 million metric tons of carbon stocks",33.5% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,MDV,6KHa,26,3,5,,,,,,0 ha ,0 kha/year,,"According to FAO data, 0.17% of GHG emissions in this country came from land-use change and forestry in 2011.",,,,[]
15,MLI,25KHa,0,214,5,97%,,3%,,,0 ha ,USD 423.1 million,4.4% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",67 kha/year,106 million metric tons of carbon stocks,20.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,MLT,124Ha,0,0,15,,,100%,,,0 ha ,0 kha/year,,Malta stories,,,,[]
17,MHL,,,,,,,,,,,,,,,,,
18,MTQ,75KHa,67,140,547,95%,,5%,,,0 ha ,USD 0.0 million,0.00% of the GDP.,"
                    In 2010, the rate of reforestation was 0 kha/year
                  ",8 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,MRT,33Ha,3,0,0,88%,,12%,,,0 ha ,USD 2.2 million,0.05% of the GDP.,"
                    In 2010, the rate of reforestation was 0.25 kha/year
                  ",9 million metric tons of carbon stocks,4.7% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
