0,Ratification,Annex I/II Party,Accession,Accession,Consuming Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
1,,,,,,,,,,
2,Ratification,Non-Annex I Party,Accession,Ratification,Producing Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
3,Ratification,Non-Annex I Party,Ratification,Ratification,Producing Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
4,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
5,Accession,Non-Annex I Party,Accession,Accession,Non Member,Non Party,Contracting Party,Acceptance,Member State,Not Ratified
6,Ratification,Annex I/II Party,Ratification,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
7,,,,,,,,,,
8,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
9,Ratification,Annex I Party,Ratification,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
10,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
11,Acceptance,Annex I/II Party,Acceptance,Ratification,Consuming Member,Acceptance,Contracting Party,Acceptance,Member State,Not Ratified
12,,,,,,,,,,
13,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
14,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
15,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
16,,,,,,,,,,
17,Approval,Non-Annex I Party,Accession,Accession,Non Member,Non Party,Non Party,Acceptance,Member State,Not Ratified
18,Ratification,Non-Annex I Party,Ratification,Ratification,Consuming Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
19,,,,,,,,,,
