0,Accession,Non-Annex I Party,Accession,Accession,Non Member,Non Party,Non Party,Non Party,Member State,Not Ratified
1,Acceptance,Non-Annex I Party,Accession,Ratification,Producing Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
2,,,,,,,,,,
3,,,,,,,,,,
4,Ratification,Non-Annex I Party,Ratification,Accession,Producing Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
5,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
6,Ratification,Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
7,Accession,Non-Annex I Party,Ratification,Ratification,Non Member,Non Party,Contracting Party,Succession,Member State,Not Ratified
8,,,,,,,,,,
9,,,,,,,,,,
10,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
11,Ratification,Annex I Party,Ratification,Accession,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
12,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Accession,Member State,Not Ratified
13,Ratification,Annex I/II Party,Ratification,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
14,Non-Party,Annex I/II Party,Signature,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
15,,,,,,,,,,
16,Ratification,Non-Annex I Party,Ratification,Accession,Non Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
17,Accession,Non-Annex I Party,Ratification,Ratification,Non Member,Accession,Contracting Party,Succession,Member State,Not Ratified
18,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Non Party,Ratification,Member State,Not Ratified
19,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Ratification,Contracting Party,Acceptance,Member State,Ratification
