0,CZE,3MHa,39,"11,125","133,107",,100%,,,,"1,894,637 ha ",USD 3.5 billion,1.8% of the GDP.,"109 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",25.624 kha/year,366 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,DNK,663KHa,16,"3,815","32,196",19%,6%,75%,,,"452,557 ha ",USD 1.5 billion,0.5% of the GDP.,"19 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3 kha/year,41 million metric tons of carbon stocks,2.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,DJI,,,,,,,,,,,,,,,,,
3,DMA,71KHa,95,12,13,39%,61%,,,,0 ha ,24.8% of GHG emissions,,Dominica stories,,,,[]
4,DOM,3MHa,54,"10,158","39,307",94%,,6%,,,0 ha ,USD 20.8 million,0.04% of the GDP.,"11 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",9 kha/year,142 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,ECU,19MHa,75,"24,641","102,684",,99%,1%,,,"52,580 ha ",USD 1.7 billion,2.3% of the GDP.,"26 thousand people are directly employed by the forestry sector, according to 2011 FAO data.","1,490 million metric tons of carbon stocks",60.2% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,EGY,154KHa,0,104,"4,973",,,100%,,,0 ha ,USD 442.6 million,0.2% of the GDP.,"39 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",7 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,SLV,989KHa,49,"1,818","8,598",92%,2%,6%,,,0 ha ,USD 344.8 million,1.6% of the GDP.,"19 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",10.4% of GHG emissions,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,GNQ,3MHa,99,"15,181","5,567",100%,,,,,0 ha ,USD 36.3 million,0.3% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0 kha/year,195 million metric tons of carbon stocks,20.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,ERI,4Ha,4,0,5,97%,,3%,,,0 ha ,USD 0.6 million,0.02% of the GDP.,"According to FAO data, 7.2% of GHG emissions in this country came from land-use change and forestry in 2011.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
10,EST,3MHa,61,"19,637","89,431",90%,3%,7%,,,"3,013,048 ha ",USD 846.6 million,4.3% of the GDP.,"21 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",23.77 kha/year,165 million metric tons of carbon stocks,31.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,ETH,12MHa,11,"28,219","62,537",92%,,8%,,,0 ha ,USD 893.7 million,3.2% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",219 million metric tons of carbon stocks,18.0% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,FLK,,,,,,,,,,,,,,,,,
13,FRO,,,,,,,,,,,,,,,,,
14,FJI,2MHa,87,"3,140","11,895",44%,40%,16%,,,"85,680 ha ",USD 61.8 million,2.0% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3.956 kha/year,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
