0,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
1,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,Ratification,Annex I/II Party,Ratification,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Ratification
6,,,,,,,,,,
7,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
8,Accession,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
9,,,,,,,,,,
10,Ratification,Non-Annex I Party,Ratification,Ratification,Producing Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
11,Ratification,Non-Annex I Party,Ratification,Accession,Producing Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
12,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Ratification,Contracting Party,Ratification,Member State,Ratification
13,Ratification,Non-Annex I Party,Ratification,Ratification,Producing Member,Ratification,Contracting Party,Ratification,Member State,Ratification
14,Ratification,Non-Annex I Party,Ratification,Ratification,Producing Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
15,,,,,,,,,,
16,Ratification,Annex I/II Party,Ratification,Accession,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
17,Ratification,Annex I/II Party,Approval,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
18,,,,,,,,,,
19,,,,,,,,,,
