0,SVK,2MHa,49,"12,763","52,294",49%,1%,50%,,,"1,389,620 ha ",USD 2.0 billion,2.4% of the GDP.,"62 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",16.43 kha/year,218 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,SVN,1MHa,65,"3,394","3,499",93%,4%,3%,,,"259,649 ha ",USD 788.1 million,1.8% of the GDP.,"25 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.278 kha/year,141 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,SLB,3MHa,98,"11,694","20,261",48%,51%,1%,,,"64,943 ha ",USD 99.3 million,11.5% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",179 million metric tons of carbon stocks,73.1% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,SOM,87KHa,0,103,280,100%,,,,,0 ha ,USD 24.5 million,2.6% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",376 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,ZAF,6MHa,5,"58,902","831,386",71%,10%,19%,,,"1,478,588 ha ",USD 3.7 billion,1.0% of the GDP.,"147 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",50.591 kha/year,807 million metric tons of carbon stocks,0.25% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,SGS,,,,,,,,,,,,,,,,,
6,SSD,16.8MHa,,,,,,,,,0 ha ,USD 395.4 million,0.7% of the GDP.,"23 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,ESP,11MHa,22,"58,671","448,304",84%,,16%,,,"1,812,053 ha ",USD 9.6 billion,0.7% of the GDP.,"162 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",8.86 kha/year,610 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,LKA,3.9MHa,,,,82%,8%,10%,,,"37,184 ha ",0 kha/year,,This country has 72 million metric tons of carbon stocks in living forest biomass.,14.7% of GHG emissions,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,SDN,247.0KHa,,,,61%,7%,32%,,,0 ha ,USD 117.2 million,0.2% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",5940 kha/year,153 million metric tons of carbon stocks,16.2% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
