0,,,,,,,,,,
1,,,,,,,,,,
2,Ratification,Non-Annex I Party,Ratification,Ratification,Producing Member,Accession,Contracting Party,Acceptance,Member State,Ratification
3,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Non Party,Non Party,Acceptance,Member State,Not Ratified
4,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
5,,,,,,,,,,
6,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
7,Succession,Non-Annex I Party,Accession,Accession,Non Member,Succession,Contracting Party,Succession,Member State,Not Ratified
8,,,,,,,,,,
9,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
10,Ratification,Non-Annex I Party,Accession,Ratification,Producing Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
11,Ratification,Non-Annex I Party,Accession,Accession,Producing Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
12,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
13,,,,,,,,,,
14,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Ratification
15,Acceptance,Annex I/II Party,Acceptance,Ratification,Consuming Member,Ratification,Contracting Party,Acceptance,Member State,Ratification
16,,,,,,,,,,
17,Non Party,Non Party,Non Party,Non Party,Non Member,Non Party,Non Party,Non Party,Non Member State,Not Ratified
18,Ratification,Annex I/II Party,Ratification,Accession,Consuming Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
19,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Ratification
