0,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Accession,Non Party,Ratification,Member State,Not Ratified
1,,,,,,,,,,
2,Accession,Non-Annex I Party,Accession,Accession,Consuming Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
3,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
4,,,,,,,,,,
5,,,,,,,,,,
6,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Non Party,Non Party,Ratification,Member State,Not Ratified
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Ratification,Contracting Party,Acceptance,Member State,Ratification
11,Acceptance,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Succession,Member State,Not Ratified
12,,,,,,,,,,
13,Ratification,Annex I/II Party,Ratification,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Not Ratified
14,Ratification,Annex I/II Party,Ratification,Accession,Consuming Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
15,Approval,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
16,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Accession,Contracting Party,Non Party,Member State,Not Ratified
17,,,,,,,,,,
18,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Ratification,Contracting Party,Acceptance,Member State,Not Ratified
19,,,,,,,,,,
